subject,stim_set,number_training_image_order_index,number_training_images,exclude_participant,trial_index,current_training_images,current_training_label,name_check,shuffled_sampling_images,current_category_label_level,current_category_kind,current_category_training_level,sampled_image,sampled_label,sampled_imagename,sampled_imagelabel,sampled_category_kind_short,sampled_category_kind,sampled_category_level,within_category_sample,within_category_sample_f,sampled_category_level_kind_info,trial_number,sampling_choice_type,chance_consistent,name_check_edited,levenshtein_distance
p881133,0,0,1,0,8,"[""stims/veg_c1_sub1.jpg""]",kita,Kita,"[""stims/ani_c3_sup4.jpg"",""stims/veg_c1_sub4.jpg"",""stims/veg_c1_sup3.jpg"",""stims/veg_c1_bas3.jpg""]",broad,vegetables,broad,stims/veg_c1_bas3.jpg,kita,veg_c1_bas3.jpg,veg_c1_bas3,veg,vegetables,bas,1,within-category,bas,1,explore,0.25,kita,0
p881133,0,0,1,0,15,"[""stims/spo_c2_sub1.jpg""]",roozer,roozer,"[""stims/veg_c1_sup4.jpg"",""stims/spo_c2_sup3.jpg"",""stims/spo_c2_bas3.jpg"",""stims/spo_c2_sub4.jpg""]",narrow,sports,narrow,stims/spo_c2_sup3.jpg,not a roozer,spo_c2_sup3.jpg,spo_c2_sup3,spo,sports,sup,1,within-category,sup,2,explore,0.25,roozer,0
p881133,0,0,1,0,22,"[""stims/ani_c3_sub1.jpg""]",tibble,tibble,"[""stims/ani_c3_bas3.jpg"",""stims/spo_c2_sup4.jpg"",""stims/ani_c3_sub4.jpg"",""stims/ani_c3_sup3.jpg""]",intermediate,animals,intermediate,stims/ani_c3_sub4.jpg,tibble,ani_c3_sub4.jpg,ani_c3_sub4,ani,animals,sub,1,within-category,sub,3,confirm,0.25,tibble,0
p881133,0,0,3,0,29,"[""stims/veh_c3_sub1.jpg"",""stims/veh_c3_sub2.jpg"",""stims/veh_c3_sub3.jpg""]",sibu,sibu,"[""stims/veh_c3_bas3.jpg"",""stims/veh_c3_sub4.jpg"",""stims/veh_c3_sup3.jpg"",""stims/sea_c2_sup4.jpg""]",intermediate,vehicles,narrow,stims/veh_c3_sub4.jpg,sibu,veh_c3_sub4.jpg,veh_c3_sub4,veh,vehicles,sub,1,within-category,sub,4,confirm,0.25,sibu,0
p881133,0,0,3,0,36,"[""stims/fru_c1_sub1.jpg"",""stims/fru_c1_bas1.jpg"",""stims/fru_c1_bas2.jpg""]",beppo,beppo,"[""stims/fru_c1_bas3.jpg"",""stims/fru_c1_sup3.jpg"",""stims/veh_c3_sup4.jpg"",""stims/fru_c1_sub4.jpg""]",intermediate,fruit,intermediate,stims/fru_c1_bas3.jpg,beppo,fru_c1_bas3.jpg,fru_c1_bas3,fru,fruit,bas,1,within-category,bas,5,confirm,0.5,beppo,0
p881133,0,0,3,0,43,"[""stims/sea_c2_sub1.jpg"",""stims/sea_c2_sup1.jpg"",""stims/sea_c2_sup2.jpg""]",guffy,guffy,"[""stims/sea_c2_bas3.jpg"",""stims/sea_c2_sub4.jpg"",""stims/sea_c2_sup3.jpg"",""stims/fru_c1_sup4.jpg""]",broad,sea,broad,stims/fru_c1_sup4.jpg,not a guffy,fru_c1_sup4.jpg,fru_c1_sup4,fru,fruit,sup,0,other-category,outside_category,6,explore,0.75,guffy,0
p783430,0,0,1,0,8,"[""stims/veg_c1_sub1.jpg""]",kita,kita,"[""stims/veg_c1_sub4.jpg"",""stims/veg_c1_sup3.jpg"",""stims/spo_c2_sup4.jpg"",""stims/veg_c1_bas3.jpg""]",broad,vegetables,intermediate,stims/veg_c1_bas3.jpg,kita,veg_c1_bas3.jpg,veg_c1_bas3,veg,vegetables,bas,1,within-category,bas,1,explore,0.25,kita,0
p783430,0,0,1,0,15,"[""stims/spo_c2_sub1.jpg""]",sibu,sibu,"[""stims/spo_c2_bas3.jpg"",""stims/spo_c2_sub4.jpg"",""stims/spo_c2_sup3.jpg"",""stims/ani_c3_sup4.jpg""]",narrow,sports,narrow,stims/spo_c2_bas3.jpg,not a sibu,spo_c2_bas3.jpg,spo_c2_bas3,spo,sports,bas,1,within-category,bas,2,explore,0.25,sibu,0
p783430,0,0,1,0,22,"[""stims/ani_c3_sub1.jpg""]",beppo,beppo,"[""stims/ani_c3_sup3.jpg"",""stims/ani_c3_sub4.jpg"",""stims/ani_c3_bas3.jpg"",""stims/veg_c1_sup4.jpg""]",hypernym,animals,broad,stims/ani_c3_sub4.jpg,beppo,ani_c3_sub4.jpg,ani_c3_sub4,ani,animals,sub,1,within-category,sub,3,confirm,0.25,beppo,0
p783430,0,0,3,0,29,"[""stims/fru_c1_sub1.jpg"",""stims/fru_c1_sub2.jpg"",""stims/fru_c1_sub3.jpg""]",tibble,tibble,"[""stims/fru_c1_sup3.jpg"",""stims/fru_c1_sub4.jpg"",""stims/fru_c1_bas3.jpg"",""stims/veh_c3_sup4.jpg""]",narrow,fruit,narrow,stims/fru_c1_sub4.jpg,tibble,fru_c1_sub4.jpg,fru_c1_sub4,fru,fruit,sub,1,within-category,sub,4,confirm,0.25,tibble,0
